system:index,defo,district,elevation,label_std,label_test_period,label_train_period,lat,lon,loss_any_2001_2024,loss_first_year,mean_elevation_m,mean_slope_deg,rain_last12m_total_mm,rain_mean_annual_2000_2024_mm,rand,slope,split,treecover2000,.geo
000000000000000004d8_0,0,KBang,916,0,0,0,14.056566942011154,108.51146608842637,0,0,916,20.71937,3250.9848297685385,2783.4902848679035,0.2950640617702126,21,train,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000113_0,0,KBang,1000,0,0,1,14.129063006938074,108.48182198462307,1,2002,1010,16.418154,3364.3139811381698,2879.1407314955827,0.05437959468774389,23,train,31,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000524_0,0,KBang,678,0,0,0,14.273778672526612,108.49529738800656,0,0,678,26.0341,3299.3934005498886,2718.926994363391,0.7085111257067921,26,train,34,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000596_0,0,KBang,1275,0,0,0,14.268120073289785,108.32443801294168,0,0,1266,27.559458,3418.0222388617694,2701.695657495224,0.2955399943863284,29,train,93,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004df_0,0,KBang,785,0,0,0,14.168138109469421,108.4769704826769,0,0,792,32.736584,3179.5106303691864,2674.3027243573615,0.4220306486236187,32,train,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052b_0,0,KBang,756,0,0,0,14.13849400566611,108.49125298335109,0,0,776,32.632233,3364.3139811381698,2879.1407314955827,0.7517420130157252,36,train,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000053c_0,0,KBang,914,0,0,0,14.053873644974873,108.48208953068627,0,0,922,31.167597,3222.151947184233,2767.6180477493767,0.4728291123698709,37,train,63,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004c1_0,0,KBang,822,0,0,0,14.278902179637019,108.42899947354395,0,0,836,33.57051,3954.77065885067,3193.707802749039,0.405728151987781,38,train,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000484_0,0,KBang,510,0,0,0,14.22688676584857,108.51200563965384,0,0,510,0.9567483,3132.6109425723553,2663.5936415282367,0.5385552736761023,1,train,44,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000048f_0,0,KBang,769,0,0,0,14.340076586989241,108.51173809359062,0,0,771,6.724104,3361.179399266839,2766.2203726602984,0.4906939969215396,3,train,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d5_0,0,KBang,535,0,0,0,14.282402573963973,108.49718358775218,0,0,534,3.8226101,3299.3934005498886,2718.926994363391,0.486530074592034,5,train,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000493_0,0,KBang,1216,0,0,0,14.540847611920642,108.39692961876754,0,0,1207,5.9943314,3205.2258018553257,2562.2362008570512,0.23707059699852517,5,train,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000216_0,0,KBang,1102,0,0,0,14.506352006171179,108.42819237625326,0,0,1102,6.036405,2982.197799295187,2381.099704130859,0.23306131007131592,6,train,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ac_0,0,KBang,879,0,0,0,14.384542742694203,108.5324862907923,0,0,886,7.063514,3057.4028005301952,2452.323266195249,0.23052470556887206,6,train,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c_0,0,KBang,959,0,0,0,14.412028641587646,108.46457418174832,0,0,957,11.376976,3026.558855623007,2396.239654855617,0.7436813999870658,10,train,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d_0,0,KBang,784,0,0,0,14.251144275579314,108.46268798200272,0,0,787,24.85831,3299.3934005498886,2718.926994363391,0.4137283588619586,11,train,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010a_0,0,KBang,702,0,1,0,14.295877977347486,108.60282415080935,0,2023,706,17.426119,2920.2753743231297,2494.9070353260336,0.06010545011578061,11,train,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000146_0,0,KBang,582,0,0,0,14.15142985782216,108.49071343212363,0,0,582,10.479817,3179.5106303691864,2674.3027243573615,0.2854828886136791,11,train,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ee_0,0,KBang,668,0,0,1,14.128791001773816,108.53787734396592,0,2012,668,14.497178,3335.206618718803,2843.7770705979806,0.6891537247776195,14,train,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000041a_0,0,KBang,582,0,0,0,14.293991777601876,108.47804958513184,0,0,574,13.917737,3299.3934005498886,2718.926994363391,0.21548415763064088,15,train,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005ba_0,0,KBang,556,0,1,0,14.163019061460068,108.52763478884617,1,2024,556,14.744946,2927.8332602009177,2497.137565198986,0.5582635603497297,15,train,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000201_0,0,KBang,647,0,0,0,14.298843279548027,108.48532683805107,0,0,647,29.224241,3299.3934005498886,2718.926994363391,0.32579782888550146,29,train,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000031c_0,0,KBang,1009,0,0,0,14.440058550809605,108.44463308183731,0,0,1017,28.88856,3056.5912619680166,2430.7695342178336,0.34437002399251526,36,train,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000117_0,0,KBang,583,0,1,0,14.136068254693038,108.49745113381537,1,2024,589,18.845243,3364.3139811381698,2879.1407314955827,0.7572982726115153,9,train,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000221_0,0,KBang,1012,0,1,0,14.400711443113998,108.40879082756972,1,2022,1022,24.04787,3056.5912619680166,2430.7695342178336,0.344693254766674,22,train,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000064d_0,0,KBang,619,0,1,0,14.288333178365056,108.50688659164447,1,2024,601,25.079887,3283.608837634325,2704.4453318488963,0.28629053572823415,27,train,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000271_0,0,KBang,724,0,0,0,14.196975115982058,108.4715794295033,0,0,724,0.92740995,3179.5106303691864,2674.3027243573615,0.3980074349423769,4,train,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003d9_0,0,KBang,889,0,0,1,14.341690781570591,108.48182198462307,1,2018,880,18.045181,3410.552547223866,2766.438409104254,0.2180462878484859,7,train,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003c3_0,0,KBang,581,0,1,0,14.082438646323247,108.55323894709505,1,2024,577,18.622564,2688.57763389498,2350.219560145993,0.08937096969273706,13,train,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c3_0,0,KBang,777,0,0,0,14.236857315804075,108.4696932297577,0,0,772,11.938814,3116.021737858653,2587.275775269555,0.05109668940133838,16,train,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000466_0,0,KBang,603,0,0,0,14.248178973378776,108.5190108874088,0,0,606,11.60822,3132.6109425723553,2663.5936415282367,0.04162008902341374,3,train,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000054b_0,0,KBang,658,0,0,0,14.23955507194141,108.52736724278296,0,0,659,7.827608,3132.6109425723553,2663.5936415282367,0.33793250891223303,5,train,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000115_0,0,KBang,499,0,0,0,14.188618760607898,108.5564717953588,0,0,499,2.6630137,2894.3183166086674,2468.4566263710717,0.4199685538911556,3,train,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000606_0,0,KBang,876,0,0,0,14.440865648100278,108.54892699637637,0,0,879,6.8078246,3022.832878291607,2439.8191594331984,0.1465012190764795,5,train,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003df_0,0,KBang,612,0,0,0,14.245213671178234,108.50418883550714,0,0,612,21.285038,3132.6109425723553,2663.5936415282367,0.38457158723425067,21,train,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000030f_0,0,KBang,613,0,0,1,14.169484757987565,108.49017833999721,1,2013,618,38.445343,3179.5106303691864,2674.3027243573615,0.3487828654168764,30,train,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000027d_0,0,KBang,672,0,0,0,14.273778672526612,108.54084264616648,0,0,672,0.92740995,3283.608837634325,2704.4453318488963,0.43975028531318905,1,train,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b_0,0,KBang,718,0,0,1,14.274590228918335,108.52251574083681,1,2003,718,2.7802885,3283.608837634325,2704.4453318488963,0.05037342600347827,3,train,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,0,KBang,526,0,0,0,14.255723772361202,108.5009559872434,0,0,526,6.011806,3283.608837634325,2704.4453318488963,0.3642911544218108,6,train,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
